"Identificação do post","Identificação da conta","Nome de usuário da conta","Nome da conta",Descrição,"Duração (s)","Horário de publicação","Link permanente","Tipo de post","Comentário de dados",Data,Visualizações,Curtidas,Compartilhamentos,Comentários,Salvamentos,Alcance,Seguimentos
17886403749243286,17841405730557330,monicametran,"Mônica Metran","Colar Terço longo e argola Stela, em ouro 18k e diamantes.",0,"09/26/2025 08:18",https://www.instagram.com/p/DPEfn3xDR8I/,"Carrossel do Instagram",,Total,52151,116,10,16,15,5664,3
18504757666067720,17841405730557330,monicametran,"Mônica Metran","Faith and grace – with diamonds.",0,"09/24/2025 15:32",https://www.instagram.com/p/DPAHrtIDXqt/,"Carrossel do Instagram",,Total,49645,96,12,14,49,4017,1
18548577250018394,17841400701760332,isadorametran,Isadora,"Merry merry Christmas ❤️",0,"12/25/2025 14:46",https://www.instagram.com/p/DStCW_8jo58/,"Carrossel do Instagram",,Total,5790,103,4,11,0,,
17876378250372477,17841400701760332,isadorametran,Isadora,❤️🎁🎅🏻🎄,0,"12/25/2025 14:43",https://www.instagram.com/p/DStCE_-Dq8z/,"Carrossel do Instagram",,Total,10719,235,2,18,0,,
18073301105346714,17841400701760332,isadorametran,Isadora,"Xmas 🎅🏻 
w/ @monicametran",35,"12/25/2025 06:41",https://www.instagram.com/reel/DSsJ-eUjqtH/,"Reel do Instagram",,Total,3536,83,6,28,0,,
17976879164953756,17841405730557330,monicametran,"Mônica Metran","MM Diamonds — Especial Presentes 2025",0,"12/24/2025 14:30",https://www.instagram.com/p/DSpoRCrDSI6/,"Carrossel do Instagram",,Total,4921,21,2,1,0,854,0
18104404480680254,17841405730557330,monicametran,"Mônica Metran","Feito para atravessar histórias. — MM Diamonds, Especial Presentes 2025.",0,"12/24/2025 07:00",https://www.instagram.com/p/DSpoQOyj_e1/,"Carrossel do Instagram",,Total,4986,26,0,0,1,702,2
18353781790165453,17841405730557330,monicametran,"Mônica Metran","MM Diamonds, Especial Presentes 2025 — O brilho que acompanha o tempo.",0,"12/24/2025 04:00",https://www.instagram.com/p/DSpTsauDXNI/,"Carrossel do Instagram",,Total,5184,27,0,0,1,1114,1
18110778736622493,17841405730557330,monicametran,"Mônica Metran","Em sua elegância e unicidade — MM Diamonds, Especial Presentes 2025",0,"12/23/2025 14:30",https://www.instagram.com/p/DSpoPMiD-Bq/,"Carrossel do Instagram",,Total,5695,40,3,0,3,998,0
18054187469352437,17841405730557330,monicametran,"Mônica Metran","Topázios brancos e Diamantes — MM Diamonds, Especial Presentes 2025.",0,"12/23/2025 07:00",https://www.instagram.com/p/DSn26zwj3R-/,"Carrossel do Instagram",,Total,5556,20,2,3,0,772,0
18389002186178533,17841405730557330,monicametran,"Mônica Metran","Um tributo à sua singularidade. 
MM Diamonds — Especial Presentes 2025",0,"12/23/2025 04:00",https://www.instagram.com/p/DSnDdWzDwXb/,"Carrossel do Instagram",,Total,5735,35,4,3,1,993,0
17986528247918145,17841400701760332,isadorametran,Isadora,Portraits,0,"12/22/2025 15:53",https://www.instagram.com/p/DSlbtMWDjxe/,"Carrossel do Instagram",,Total,12032,312,8,54,0,,
18389980447179423,17841405730557330,monicametran,"Mônica Metran","Especial Presentes 2025 — Esmeraldas colombianas, presença que permanece.",14,"12/22/2025 14:30",https://www.instagram.com/reel/DSlSKOvjw9C/,"Reel do Instagram",,Total,1673,28,0,2,2,1497,1
18066883649158186,17841405730557330,monicametran,"Mônica Metran","Turmalinas Paraíbas – Especial Presentes 2025.",0,"12/21/2025 13:18",https://www.instagram.com/p/DSilHlAj9zm/,"Carrossel do Instagram",,Total,6216,36,4,3,6,955,0
18032988779549626,17841405730557330,monicametran,"Mônica Metran","Esmeraldas Colombianas – Especial Presentes 2025.",0,"12/20/2025 15:51",https://www.instagram.com/p/DSgR5ZJjX5s/,"Carrossel do Instagram",,Total,7542,51,3,5,4,1280,0
18080468273276164,17841405730557330,monicametran,"Mônica Metran","Para atravessar o tempo.
Especial Presentes 2025.",0,"12/20/2025 07:00",https://www.instagram.com/p/DSfVFwYjYy3/,"Carrossel do Instagram",,Total,6994,38,0,3,1,961,0
18085201448036737,17841405730557330,monicametran,"Mônica Metran","MM Diamonds – Especial Presentes 2025",0,"12/19/2025 14:58",https://www.instagram.com/p/DSdnA-aDfl3/,"Carrossel do Instagram",,Total,9363,64,1,10,4,1833,0
17947206303078559,17841405730557330,monicametran,"Mônica Metran","MM Diamonds – Especial Presentes 2025.",15,"12/19/2025 06:55",https://www.instagram.com/reel/DScvtF1DbAn/,"Reel do Instagram",,Total,1880,21,2,0,3,1562,0
18520054492065619,17841405730557330,monicametran,"Mônica Metran","MM Diamonds — Turmalinas Paraíbas, Especial Presentes 2025.",14,"12/18/2025 14:30",https://www.instagram.com/reel/DSa_BQ5j5mh/,"Reel do Instagram",,Total,23601,84,11,3,13,15648,22
17929478367169901,17841405730557330,monicametran,"Mônica Metran","MM Diamonds – Especial Presentes 2025",26,"12/17/2025 14:42",https://www.instagram.com/reel/DSYbP3xjdkV/,"Reel do Instagram",,Total,33329,46,6,8,3,18067,2
18128616232504801,17841405730557330,monicametran,"Mônica Metran","Aura Viva é sensibilidade, para quem carrega consigo um olhar atento. A coragem de expressar a própria essência. 

Conheça nossa coleção.",0,"12/17/2025 08:36",https://www.instagram.com/p/DSYaMLnD0M2/,"Carrossel do Instagram",,Total,33236,729,94,33,245,14214,201
